province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Kentucky,US,2020-08-04,37.94090733,-83.59985712,POINT(-83.59985712 37.94090733),3,0,0,0,21165,Menifee,"Menifee, Kentucky, US"
Kentucky,US,2020-08-04,37.81474237,-84.87488475,POINT(-84.87488475 37.81474237),4,0,0,0,21167,Mercer,"Mercer, Kentucky, US"
Kentucky,US,2020-08-04,38.03253032,-83.9145241,POINT(-83.9145241 38.03253032),6,0,0,0,21173,Montgomery,"Montgomery, Kentucky, US"
Kentucky,US,2020-08-04,37.21425819,-87.14632053,POINT(-87.14632053 37.21425819),27,0,0,0,21177,Muhlenberg,"Muhlenberg, Kentucky, US"
Kentucky,US,2020-08-04,37.80335779,-85.4657193,POINT(-85.4657193 37.80335779),4,0,0,0,21179,Nelson,"Nelson, Kentucky, US"
Kentucky,US,2020-08-04,38.33342292,-84.01889177,POINT(-84.01889177 38.33342292),1,0,0,0,21181,Nicholas,"Nicholas, Kentucky, US"
Kentucky,US,2020-08-04,37.47751843,-86.85368087,POINT(-86.85368087 37.47751843),1,0,0,0,21183,Ohio,"Ohio, Kentucky, US"
Kentucky,US,2020-08-04,38.39791089,-85.448222,POINT(-85.448222 38.39791089),8,0,0,0,21185,Oldham,"Oldham, Kentucky, US"
Kentucky,US,2020-08-04,38.69607718,-84.35599463,POINT(-84.35599463 38.69607718),2,0,0,0,21191,Pendleton,"Pendleton, Kentucky, US"
Kentucky,US,2020-08-04,37.25023553,-83.22922731,POINT(-83.22922731 37.25023553),3,0,0,0,21193,Perry,"Perry, Kentucky, US"
Kentucky,US,2020-08-04,37.47088263,-82.39487445,POINT(-82.39487445 37.47088263),1,0,0,0,21195,Pike,"Pike, Kentucky, US"
Kentucky,US,2020-08-04,37.83218794,-83.82553961,POINT(-83.82553961 37.83218794),1,0,0,0,21197,Powell,"Powell, Kentucky, US"
Maryland,US,2020-08-04,39.06198912,-76.03530977,POINT(-76.03530977 39.06198912),16,0,0,0,24035,Queen Anne's,"Queen Anne's, Maryland, US"
Michigan,US,2020-08-04,43.99509218,-86.24988902,POINT(-86.24988902 43.99509218),1,0,0,0,26105,Mason,"Mason, Michigan, US"
Michigan,US,2020-08-04,41.92734151,-83.53749864,POINT(-83.53749864 41.92734151),152,0,0,0,26115,Monroe,"Monroe, Michigan, US"
Michigan,US,2020-08-04,43.554374,-85.80070107,POINT(-85.80070107 43.554374),3,0,0,0,26123,Newaygo,"Newaygo, Michigan, US"
Michigan,US,2020-08-04,44.33481032,-84.12725175,POINT(-84.12725175 44.33481032),3,0,0,0,26129,Ogemaw,"Ogemaw, Michigan, US"
Michigan,US,2020-08-04,46.6652262,-89.31390481,POINT(-89.31390481 46.6652262),0,0,0,0,26131,Ontonagon,"Ontonagon, Michigan, US"
Michigan,US,2020-08-04,43.98992088,-85.32566756,POINT(-85.32566756 43.98992088),3,0,0,0,26133,Osceola,"Osceola, Michigan, US"
Michigan,US,2020-08-04,44.68192279,-84.12939244,POINT(-84.12939244 44.68192279),2,0,0,0,26135,Oscoda,"Oscoda, Michigan, US"
